Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
-8.02E-04,-2.31E-02,-1.88E-01,-4.98E-01,5.326121165E-1,0.00E+00
9.199250009E-3,-3.18E-01,-1.43E-01,-6.03E-01,6.963995339E-1,0.00E+00
1.919925000E-2,-4.97E-01,1.182102352E-1,-1.46E-01,5.317820764E-1,0.00E+00
2.920025001E-2,-6.87E-01,4.326957124E-1,9.578455523E-2,8.171783149E-1,0.00E+00
3.920125001E-2,-8.40E-01,5.331342128E-1,1.229751313E-1,1.002823696E0,0.00E+00
4.920125000E-2,-7.91E-01,3.941993988E-1,8.779272705E-2,8.883262157E-1,0.00E+00
5.920225001E-2,-6.44E-01,1.611486787E-1,7.839128137E-2,6.689428438E-1,0.00E+00
6.920225000E-2,-4.94E-01,-1.92E-02,4.584904119E-2,4.961363868E-1,0.00E+00
7.920325000E-2,-3.80E-01,-1.24E-01,-7.12E-02,4.054499383E-1,0.00E+00
8.920325000E-2,-3.38E-01,-1.44E-01,-1.73E-01,4.056594960E-1,0.00E+00
9.920425000E-2,-2.73E-01,-1.49E-01,-1.85E-01,3.619820415E-1,0.00E+00
1.092042500E-1,-1.43E-01,-2.05E-01,-2.20E-01,3.332403408E-1,0.00E+00
1.192052500E-1,-2.99E-02,-2.76E-01,-2.70E-01,3.867424814E-1,0.00E+00
1.292062500E-1,2.374729693E-2,-3.22E-01,-2.40E-01,4.027370870E-1,0.00E+00
1.392062500E-1,1.689535421E-1,-4.24E-01,-1.51E-01,4.806192514E-1,0.00E+00
1.492072500E-1,2.822059232E-1,-5.09E-01,-2.75E-02,5.828057942E-1,0.00E+00
1.592072500E-1,3.515474689E-1,-5.26E-01,7.935504869E-2,6.378674085E-1,0.00E+00
1.692082500E-1,4.539333844E-1,-6.05E-01,1.526148136E-1,7.713317828E-1,0.00E+00
1.792082500E-1,3.776196188E-1,-5.34E-01,2.576272984E-1,7.029512956E-1,0.00E+00
1.892092500E-1,2.595766139E-1,-2.75E-01,2.573805459E-1,4.571756993E-1,0.00E+00
1.992092500E-1,2.759102261E-1,-7.60E-02,1.522578411E-1,3.241735841E-1,0.00E+00
2.092102500E-1,3.238954014E-1,5.181188554E-2,-1.23E-01,3.503567213E-1,0.00E+00
2.192112500E-1,2.864159185E-1,8.933697671E-2,-2.90E-01,4.172522876E-1,0.00E+00
2.292112500E-1,2.912895727E-1,-4.36E-02,-2.79E-01,4.058959099E-1,0.00E+00
2.392122500E-1,3.091838068E-1,-1.09E-01,-2.24E-01,3.971465025E-1,0.00E+00
2.492122500E-1,4.820859736E-1,-8.40E-02,-6.66E-02,4.938665984E-1,0.00E+00
2.592132500E-1,9.829227984E-1,-3.12E-01,3.195634916E-2,1.031739087E0,0.00E+00
2.692132500E-1,9.801740223E-1,-4.73E-01,-7.65E-02,1.091209212E0,0.00E+00
2.792142500E-1,4.721328431E-1,-2.76E-01,-6.33E-02,5.504112122E-1,0.00E+00
2.892142500E-1,2.171480477E-2,1.215390551E-1,-5.97E-02,1.371327232E-1,0.00E+00
2.992152500E-1,-2.40E-01,5.034423441E-1,-4.43E-02,5.594053268E-1,0.00E+00
3.092152500E-1,-4.05E-01,8.242536315E-1,-1.04E-01,9.241551646E-1,0.00E+00
3.192162500E-1,-5.73E-01,1.047462318E0,-5.12E-03,1.194009539E0,0.00E+00
3.292172500E-1,-6.92E-01,1.180590555E0,7.409942508E-2,1.370589079E0,0.00E+00
3.392172500E-1,-6.79E-01,1.188911727E0,4.544704512E-2,1.369975320E0,0.00E+00
3.492182500E-1,-6.33E-01,1.019592734E0,-3.48E-02,1.200589722E0,0.00E+00
3.592182500E-1,-3.91E-01,6.554474393E-1,-3.57E-02,7.641983150E-1,0.00E+00
3.692192500E-1,3.654802144E-2,1.771981162E-1,-2.48E-02,1.826219783E-1,0.00E+00
3.792192500E-1,1.972441256E-1,-3.16E-02,-2.86E-02,2.017957512E-1,0.00E+00
3.892202500E-1,2.108786631E-1,5.919253349E-2,2.769241333E-2,2.207723631E-1,0.00E+00
3.992202500E-1,3.325282305E-1,1.934966451E-1,1.550681591E-2,3.850408253E-1,0.00E+00
4.092212500E-1,4.300457543E-1,2.362164026E-1,-4.37E-02,4.925965903E-1,0.00E+00
4.192222500E-1,3.724015635E-1,2.280627528E-1,-3.22E-02,4.378723100E-1,0.00E+00
4.292222500E-1,2.384096932E-1,2.641140532E-1,3.061455935E-2,3.571171603E-1,0.00E+00
4.392232500E-1,8.321464956E-2,3.724731919E-1,6.428341180E-2,3.870314117E-1,0.00E+00
4.492232500E-1,-4.57E-02,4.827548951E-1,3.769319862E-2,4.863772126E-1,0.00E+00
4.592242500E-1,-2.07E-02,4.896917394E-1,-4.49E-02,4.921831991E-1,0.00E+00
4.692242500E-1,1.776910365E-1,2.998583749E-1,-1.87E-01,3.953572381E-1,0.00E+00
4.792252500E-1,2.960638243E-1,1.318795636E-1,-2.86E-01,4.322223877E-1,0.00E+00
4.892252500E-1,4.183793896E-1,3.660444707E-2,-2.65E-01,4.964365738E-1,0.00E+00
4.992262500E-1,6.628280872E-1,-1.65E-02,-1.41E-01,6.778761034E-1,0.00E+00
5.092272500E-1,6.798072320E-1,-8.32E-03,-7.46E-02,6.839373359E-1,0.00E+00
5.192272500E-1,6.081273848E-1,3.669683307E-2,-4.57E-02,6.109459714E-1,0.00E+00
5.292282500E-1,5.549469584E-1,7.455930859E-2,-1.78E-02,5.602160187E-1,0.00E+00
5.392282500E-1,4.381763077E-1,1.068324307E-1,1.050782660E-1,4.630907976E-1,0.00E+00
5.492292500E-1,3.352448469E-1,1.330244485E-1,2.524354094E-1,4.402365810E-1,0.00E+00
5.592292500E-1,1.807847983E-1,1.859306404E-1,3.490191329E-1,4.348191594E-1,0.00E+00
5.692302500E-1,5.009192705E-2,2.392788818E-1,3.728173006E-1,4.458209551E-1,0.00E+00
5.792302500E-1,-1.70E-03,2.584881547E-1,2.989327607E-1,3.951959346E-1,0.00E+00
5.892312500E-1,-2.49E-02,2.367470375E-1,1.628999197E-1,2.884533567E-1,0.00E+00
5.992322500E-1,-2.57E-02,1.752448538E-1,5.588914901E-2,1.857267853E-1,0.00E+00
6.092322500E-1,-3.86E-02,1.103474844E-1,-5.85E-02,1.307238866E-1,0.00E+00
6.192332500E-1,2.701413631E-4,-1.06E-02,-1.60E-01,1.599955739E-1,0.00E+00
6.292332500E-1,1.769075096E-1,-1.94E-01,-1.36E-01,2.956629415E-1,0.00E+00
6.392342500E-1,5.108338094E-1,-5.04E-01,-1.05E-01,7.249910696E-1,0.00E+00
6.492342500E-1,4.063323712E-1,-5.89E-01,-1.22E-01,7.261151175E-1,0.00E+00
6.592352500E-1,8.705334663E-3,-2.68E-01,-9.63E-02,2.849862725E-1,0.00E+00
6.692352500E-1,-2.99E-01,7.549457073E-2,-5.77E-02,3.138128832E-1,0.00E+00
6.792362500E-1,-4.41E-01,2.282796845E-1,-3.14E-02,4.973041697E-1,0.00E+00
