Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
1.012126300E-2,-1.12E+00,-1.14E-02,-6.83E-02,1.125033013E0,0.00E+00
2.014157600E-2,-1.55E+00,-2.37E-01,2.281999886E-1,1.582282938E0,0.00E+00
3.012126300E-2,-1.84E+00,-4.65E-01,3.035999835E-1,1.924873947E0,0.00E+00
4.012126300E-2,-1.87E+00,-5.11E-01,-1.67E-01,1.942534766E0,0.00E+00
5.011970100E-2,-1.45E+00,-2.68E-01,-2.30E-01,1.497218913E0,0.00E+00
6.011970100E-2,-1.05E+00,1.270000041E-1,4.949999973E-2,1.062876233E0,0.00E+00
7.013063800E-2,-8.98E-01,3.483999968E-1,4.068999887E-1,1.045635769E0,0.00E+00
8.012126300E-2,-8.13E-01,4.767999947E-1,8.265999556E-1,1.253559788E0,0.00E+00
9.012126300E-2,-7.55E-01,5.063999891E-1,1.221699953E0,1.522881368E0,0.00E+00
1.001212630E-1,-7.25E-01,4.922999740E-1,1.316999912E0,1.582058171E0,0.00E+00
1.101212630E-1,-6.87E-01,4.223999977E-1,1.356899977E0,1.578383207E0,0.00E+00
1.201353260E-1,-8.51E-01,3.163000047E-1,1.310699940E0,1.594261725E0,0.00E+00
1.301212630E-1,-8.94E-01,2.126999944E-1,1.364799976E0,1.645126500E0,0.00E+00
1.401197010E-1,-1.12E+00,8.209999651E-2,1.567899942E0,1.927891053E0,0.00E+00
1.501197010E-1,-1.43E+00,-5.65E-02,1.379999995E0,1.991614931E0,0.00E+00
1.601197010E-1,-1.53E+00,-8.66E-02,1.243099928E0,1.972780100E0,0.00E+00
1.701306380E-1,-1.32E+00,-1.38E-01,1.119400024E0,1.734368028E0,0.00E+00
1.801212630E-1,-1.19E+00,-2.39E-01,1.096899986E0,1.636133736E0,0.00E+00
1.901212630E-1,-1.31E+00,-3.49E-01,1.087499976E0,1.735193000E0,0.00E+00
2.001197010E-1,-1.64E+00,-4.39E-01,1.002300024E0,1.967870317E0,0.00E+00
2.101197010E-1,-2.00E+00,-3.40E-01,9.491999745E-1,2.242480330E0,0.00E+00
2.201259510E-1,-2.18E+00,-2.96E-01,1.054399967E0,2.438553702E0,0.00E+00
2.301212630E-1,-2.20E+00,-3.87E-01,7.220999599E-1,2.343459919E0,0.00E+00
2.401212630E-1,-2.25E+00,-4.08E-01,4.655999839E-1,2.331228460E0,0.00E+00
2.501212630E-1,-2.28E+00,-4.89E-01,4.560999870E-1,2.374788688E0,0.00E+00
2.601212630E-1,-2.17E+00,-5.50E-01,3.579999804E-1,2.267586402E0,0.00E+00
2.701322010E-1,-1.83E+00,-5.40E-01,-9.06E-01,2.114077463E0,0.00E+00
2.801197010E-1,-1.70E+00,-2.09E-01,1.278800011E0,2.138409095E0,0.00E+00
2.901212630E-1,-1.08E+00,-7.05E-01,3.637000024E-1,1.337463577E0,0.00E+00
3.001197010E-1,-9.96E-01,-2.38E-01,-7.47E-01,1.267467629E0,0.00E+00
3.101197010E-1,-2.13E+00,2.399999946E-1,-2.05E-01,2.153517921E0,0.00E+00
3.201306380E-1,-3.35E+00,-2.22E-01,9.400999546E-1,3.489462758E0,0.00E+00
3.301212630E-1,-3.40E+00,-3.86E-02,1.063799977E0,3.563509635E0,0.00E+00
3.401197010E-1,-2.59E+00,4.303999841E-1,8.484999537E-1,2.757718313E0,0.00E+00
3.501197010E-1,-2.06E+00,2.830999792E-1,-1.18E+00,2.396302880E0,0.00E+00
3.601212630E-1,-2.00E+00,3.068999946E-1,-1.13E+00,2.323447225E0,0.00E+00
3.701306380E-1,-2.17E+00,-2.19E-02,2.675099850E0,3.445836411E0,0.00E+00
3.801212630E-1,-2.34E+00,-4.53E-01,1.606899977E0,2.875477736E0,0.00E+00
3.901212630E-1,-1.76E+00,-6.92E-01,1.641999930E-1,1.902296522E0,0.00E+00
4.001212630E-1,-1.55E+00,-1.13E+00,-3.64E-01,1.956656175E0,0.00E+00
4.101197010E-1,-2.94E-01,-8.07E-01,-9.52E-01,1.281935825E0,0.00E+00
4.201306380E-1,-7.80E-01,-1.06E+00,-1.46E+00,1.966234769E0,0.00E+00
4.301197010E-1,-1.46E+00,-1.63E+00,-1.08E+00,2.436616903E0,0.00E+00
4.401197010E-1,-1.65E-02,-4.34E+00,-3.29E+00,5.442840765E0,0.00E+00
4.501197010E-1,2.051100016E0,-3.87E+00,-2.56E+00,5.073872349E0,0.00E+00
4.601197010E-1,1.685799956E0,-8.69E-01,9.300999641E-1,2.112549108E0,0.00E+00
4.701306380E-1,9.134999514E-1,1.373399973E0,2.004899979E0,2.596215240E0,0.00E+00
